t          l2           inf  
28.8000      2.6348      3.4684
28.9000      2.6374      3.3438
29.0000      2.6330      3.2292
29.1000      2.6211      3.6573
29.2000      2.6035      3.6178
29.3000      2.5854      2.4238
29.4000      2.5747      2.1192
29.5000      2.5788      2.2074
29.6000      2.5993      2.3029
29.7000      2.6304      2.7533
29.8000      2.6624      4.6279
29.9000      2.6876      4.4573
30.0000      2.7023      4.0206
30.1000      2.7040      3.3887
30.2000      2.6919      2.6120
30.3000      2.6684      2.4617
30.4000      2.6409      2.3811
30.5000      2.6193      2.4090
30.6000      2.6109      2.4456
30.7000      2.6173      2.4093
30.8000      2.6344      2.6850
30.9000      2.6555      3.3718
31.0000      2.6747      3.7141
31.1000      2.6891      3.8379
31.2000      2.6980      3.8379
31.3000      2.7026      3.8498
31.4000      2.7035      3.8525
31.5000      2.7015      3.8188
31.6000      2.6965      3.7627
31.7000      2.6880      3.5238
31.8000      2.6754      3.3233
31.9000      2.6608      2.3533
32.0000      2.6519      2.2135
32.1000      2.6599      2.3328
32.2000      2.6906      2.4492
32.3000      2.7358      2.9743
32.4000      2.7767      4.6367
32.5000      2.7967      4.5109
32.6000      2.7926      4.1460
32.7000      2.7749      3.5690
32.8000      2.7564      2.9362
32.9000      2.7431      2.6207
33.0000      2.7327      2.3537
33.1000      2.7220      2.2644
33.2000      2.7123      2.4427
33.3000      2.7088      2.8041
33.4000      2.7157      2.8352
33.5000      2.7325      3.1614
33.6000      2.7533      3.6566
33.7000      2.7706      3.8634
33.8000      2.7798      3.7547
33.9000      2.7813      3.4525
34.0000      2.7788      3.1332
34.1000      2.7768      2.9483
34.2000      2.7772      2.8637
34.3000      2.7783      2.9959
34.4000      2.7765      3.1705
34.5000      2.7708      2.3148
34.6000      2.7678      2.0203
34.7000      2.7783      2.2010
34.8000      2.8065      2.2869
34.9000      2.8447      3.5941
35.0000      2.8823      5.0066
35.1000      2.9126      4.3017
35.2000      2.9288      3.3774
35.3000      2.9233      2.5198
35.4000      2.8971      2.2547
35.5000      2.8634      2.9940
35.6000      2.8373      3.0853
35.7000      2.8244      2.9329
35.8000      2.8226      2.7436
35.9000      2.8297      2.8585
36.0000      2.8458      2.7612
36.1000      2.8701      2.7349
36.2000      2.8974      2.9219
36.3000      2.9196      3.1853
36.4000      2.9306      3.3904
36.5000      2.9297      3.3779
36.6000      2.9209      3.2696
36.7000      2.9093      3.1969
36.8000      2.8979      3.1285
36.9000      2.8862      3.1629
37.0000      2.8718      3.3483
37.1000      2.8557      2.4876
37.2000      2.8475      2.0736
37.3000      2.8630      2.2261
37.4000      2.9069      2.3077
37.5000      2.9631      3.5398
37.6000      3.0072      5.0939
37.7000      3.0266      4.4539
37.8000      3.0265      3.5901
37.9000      3.0204      2.5960
38.0000      3.0155      2.5675
38.1000      3.0084      2.4722
38.2000      2.9956      2.6370
38.3000      2.9808      3.1408
38.4000      2.9699      3.4208
38.5000      2.9645      3.1711
38.6000      2.9634      2.9513
38.7000      2.9676      2.9384
38.8000      2.9805      2.7868
38.9000      3.0050      2.7581
39.0000      3.0399      2.9162
39.1000      3.0793      3.1506
39.2000      3.1151      3.3143
39.3000      3.1399      3.2292
39.4000      3.1486      3.2043
39.5000      3.1394      3.7550
39.6000      3.1142      3.9449
39.7000      3.0822      2.7047
39.8000      3.0634      2.1865
39.9000      3.0794      2.3224
40.0000      3.1326      2.3293
40.1000      3.2029      4.1282
40.2000      3.2710      5.3143
40.3000      3.3290      4.1919
40.4000      3.3738      2.9702
40.5000      3.4053      2.5566
40.6000      3.4308      2.4254
40.7000      3.4585      3.3623
40.8000      3.4868      2.7704
40.9000      3.5077      3.8206
41.0000      3.5206      3.2631
41.1000      3.5359      3.3764
41.2000      3.5617      3.4951
41.3000      3.5953      3.6522
41.4000      3.6289      3.7698
41.5000      3.6608      3.8985
41.6000      3.6994      3.7541
41.7000      3.7570      3.6687
41.8000      3.8418      3.5482
41.9000      3.9540      3.7144
42.0000      4.0861      3.5874
42.1000      4.2262      4.1079
42.2000      4.3648      5.0002
42.3000      4.5049      3.2342
42.4000      4.6683      2.5143
42.5000      4.8823      2.4176
42.6000      5.1485      2.8050
42.7000      5.4370      4.4757
42.8000      5.7193      5.7495
42.9000      5.9926      5.4658
43.0000      6.2676      5.6304
43.1000      6.5447      7.4736
43.2000      6.8063      7.1153
43.3000      7.0289      9.0537
43.4000      7.1991     10.2142
43.5000      7.3171     11.5665
43.6000      7.3898     13.1804
43.7000      7.4302     12.9262
43.8000      7.4649     11.7906
43.9000      7.5353     11.0636
44.0000      7.6844     10.6178
44.1000      7.9443     10.8463
44.2000      8.3355     10.6177
44.3000      8.8723     11.5468
44.4000      9.5662     13.9297
44.5000     10.4216     15.3499
44.6000     11.4289     15.3551
44.7000     12.5594     17.1899
44.8000     13.7707     17.9040
44.9000     15.0301     13.4360
45.0000     16.3457     11.6864
45.1000     17.7600     11.7695
45.2000     19.2945     14.6262
45.3000     20.9100     24.1558
