coordt3	phi3	phi2	phi1
0.1	0.0241274051368237	0.239828214049339	2.39830827713013
0.2	0.0236575305461884	0.235158443450928	2.35168409347534
0.3	0.0228843279182911	0.227473974227905	2.2749490737915
0.4	0.0218224171549082	0.216919988393784	2.16953587532043
0.5	0.0204918216913939	0.203695341944695	2.03741264343262
0.6	0.0189175251871347	0.188048139214516	1.88104116916656
0.7	0.0171289462596178	0.17027060687542	1.7033269405365
0.8	0.0151592893525958	0.150692671537399	1.50756072998047
0.9	0.0130448434501886	0.129674911499023	1.29734790325165
1	0.010824210010469	0.107600979506969	1.0765335559845
1.1	0.00853748340159655	0.0848694145679474	0.849120378494263
1.2	0.00622541503980756	0.0618853941559792	0.619183599948883
1.3	0.00392857007682323	0.0390522517263889	0.390784621238708
1.4	0.00168650294654071	0.0167648401111364	0.168035224080086
1.5	0.000463071803096682	0.00460616545751691	0.0457324534654617
1.6	0.00248494790866971	0.024706169962883	0.246546223759651
1.7	0.00434718281030655	0.0432189293205738	0.431359946727753
1.8	0.00602165423333645	0.0598647333681583	0.597366034984589
1.9	0.00748456781730056	0.0744069218635559	0.742196023464203
2	0.00871685799211264	0.0866559147834778	0.863961100578308
2.1	0.00970447435975075	0.0964720696210861	0.961279690265656
2.2	0.0104385614395142	0.103767327964306	1.03329539299011
2.3	0.0109155038371682	0.108505934476852	1.07968032360077
2.4	0.0111368848010898	0.110703721642494	1.10062921047211
2.5	0.0111093018203974	0.110426478087902	1.09684062004089
2.6	0.0108441114425659	0.107787251472473	1.06948757171631
2.7	0.0103570437058806	0.102942638099194	1.02017951011658
2.8	0.00966776069253683	0.0960882380604744	0.950915575027466
2.9	0.00879932660609484	0.0874534845352173	0.864044606685638
3	0.00777762988582253	0.0772978290915489	0.762355625629425
3.1	0.00663072569295764	0.0658976584672928	0.648398816585541
3.2	0.00538820866495371	0.0535470359027386	0.525135040283203
3.3	0.00408053305000067	0.0405487343668938	0.39560678601265
3.4	0.00273834029212594	0.0272073782980442	0.262871235609055
3.5	0.00139180803671479	0.0138229858130217	0.129933416843414
3.6	7.00269229128025e-05	0.000684778147842735	0.000643232488073409
3.7	0.00119957712013274	0.0119345765560865	0.125162422657013
3.8	0.00239176559261978	0.023784164339304	0.242112770676613
3.9	0.00348394550383091	0.0346393808722496	0.348948121070862
4	0.00445655500516295	0.0443057641386986	0.443758070468903
4.1	0.00529336975887418	0.0526220537722111	0.524970710277557
4.2	0.00598172377794981	0.0594623759388924	0.591374218463898
4.3	0.00651264982298017	0.0647376477718353	0.642128765583038
4.4	0.00688093109056354	0.0683960467576981	0.676769971847534
4.5	0.00708506815135479	0.0704227760434151	0.695204555988312
4.6	0.00712717371061444	0.0708389058709145	0.697697222232819
4.7	0.00701278494670987	0.0696995481848717	0.684850692749023
4.8	0.00675060972571373	0.0670913606882095	0.657578706741333
4.9	0.00635221740230918	0.0631294175982475	0.6170734167099
5	0.00583167606964707	0.0579536482691765	0.564794600009918
5.1	0.00520515302196145	0.0517254434525967	0.502390325069427
5.2	0.00449047051370144	0.0446211285889149	0.431582242250443
5.3	0.00370666617527604	0.0368299335241318	0.354267120361328
5.4	0.00287352595478296	0.0285485628992319	0.272407114505768
5.5	0.00201112660579383	0.0199765935540199	0.187984332442284
5.6	0.00113938539288938	0.0113120255991817	0.102955423295498
5.7	0.000277633633231744	0.00274707283824682	0.019209424033761
5.8	0.00055578094907105	0.00553598674014211	0.061471451073885
5.9	0.00134385423734784	0.0133680226281285	0.137447133660316
6	0.00207124417647719	0.020596582442522	0.20725017786026
6.1	0.00272453832440078	0.0270883701741695	0.269611209630966
6.2	0.00329246977344155	0.0327314361929893	0.323478847742081
6.3	0.0037660775706172	0.0374367535114288	0.368033677339554
6.4	0.00413881056010723	0.0411392860114574	0.402696639299393
6.5	0.00440657464787364	0.043798390775919	0.427131325006485
6.6	0.00456772325560451	0.0453978069126606	0.441241174936295
6.7	0.00462299725040793	0.0459449887275696	0.445160925388336
6.8	0.00457541411742568	0.0454699918627739	0.439243733882904
6.9	0.00443011103197932	0.0440239608287811	0.424043655395508
7	0.00419414602220058	0.0416771471500397	0.400294721126556
7.1	0.003876275382936	0.0385166928172112	0.368886768817902
7.2	0.00348668545484543	0.0346440598368645	0.33083900809288
7.3	0.00303672021254897	0.030171686783433	0.287290304899216
7.4	0.0025385853368789	0.0252209082245827	0.239408046007156
7.5	0.00200504902750254	0.0199186373502016	0.188426032662392
7.6	0.00144914397969842	0.0143943773582578	0.135592967271805
7.7	0.000883866799995303	0.00877730082720518	0.0821430310606956
7.8	0.000321901985444129	0.00319344410672784	0.0292692184448242
7.9	0.000224644696572796	0.00223690830171108	0.0219012480229139
8	0.000744486169423908	0.00740162050351501	0.070328876376152
8.1	0.00122736708726734	0.0121988197788596	0.115080922842026
8.2	0.00166424678172916	0.0165387094020844	0.155347168445587
8.3	0.00204744678921998	0.0203450433909893	0.190452098846436
8.4	0.00237076380290091	0.023556238040328	0.219863772392273
8.5	0.00262954668141901	0.0261261388659477	0.243198841810226
8.6	0.00282073556445539	0.0280244052410126	0.260224223136902
8.7	0.00294286501593888	0.0292365271598101	0.270855277776718
8.8	0.00299603119492531	0.029763538390398	0.275150805711746
8.9	0.00298182852566242	0.0296213366091251	0.273305207490921
9	0.00290325563400984	0.0288397651165724	0.265637695789337
9.1	0.00276459311135113	0.027461402118206	0.252579808235168
9.2	0.00257125869393349	0.0255401190370321	0.234660401940346
9.3	0.00232964707538486	0.0231395792216063	0.212489604949951
9.4	0.00204694527201355	0.0203310865908861	0.186751335859299
9.5	0.00173095124773681	0.0171920750290155	0.158156469464302
9.6	0.00138987484388053	0.013804123736918	0.127450883388519
9.7	0.00103214639239013	0.0102509586140513	0.0953940227627754
9.8	0.000666221079882234	0.0066165691241622	0.0627394318580627
9.9	0.000300396059174091	0.00298335496336222	0.0302185211330652
10	5.7365123211639e-05	0.000569601601455361	0.00149296794552356
10.1	0.000399592361645773	0.00396812567487359	0.0317050889134407
10.2	0.000719452043995261	0.007144371047616	0.0598610267043114
10.3	0.00101086986251175	0.0100380443036556	0.0854583829641342
10.4	0.00126863433979452	0.0125974118709564	0.108059115707874
10.5	0.00148847384843975	0.0147800957784057	0.127314373850822
10.6	0.00166711397469044	0.0165536142885685	0.142964959144592
10.7	0.00180230790283531	0.0178956910967827	0.154841333627701
10.8	0.00189284502994269	0.0187943447381258	0.162862852215767
10.9	0.00193853548262268	0.0192477256059647	0.16703537106514
11	0.00194017391186208	0.0192637518048286	0.167446941137314
11.1	0.00189948303159326	0.018859563395381	0.164262115955353
11.2	0.00181903829798102	0.0180607605725527	0.15771472454071
11.3	0.00170217920094728	0.016900509595871	0.148099586367607
11.4	0.00155290425755084	0.0154185611754656	0.13576340675354
11.5	0.00137575948610902	0.0136600472033024	0.121094815433025
11.6	0.00117571570444852	0.011674284003675	0.104516997933388
11.7	0.000958045537117869	0.00951361190527678	0.0864695310592651
11.8	0.000728193670511246	0.00723208021372557	0.0674026757478714
11.9	0.000491654383949935	0.00488421926274896	0.0477696135640144
12	0.000253847858402878	0.0025238236412406	0.0280147138983011
12.1	2.00056929315906e-05	0.000202817827812396	0.00856454484164715
12.2	0.000204935437068343	0.00202982104383409	0.0101853189989924
12.3	0.000416429713368416	0.00412897625938058	0.0278547164052725
12.4	0.00061040575383231	0.00605425471439958	0.0441253781318665
12.5	0.000783335883170366	0.0077706603333354	0.0587150193750858
12.6	0.000932292372453958	0.00924914609640837	0.0713876262307167
12.7	0.00105498626362532	0.0104670086875558	0.0819604247808456
12.8	0.00114979210775346	0.0114081287756562	0.0903035998344421
12.9	0.00121575687080622	0.0120630618184805	0.0963406041264534
13	0.00125259428750724	0.012428973801434	0.100047394633293
13.1	0.00126066419761628	0.0125094410032034	0.101450532674789
13.2	0.00124093878548592	0.0123141193762422	0.100624397397041
13.3	0.00119495717808604	0.0118582844734192	0.0976873263716698
13.4	0.00112476979847997	0.0111622782424092	0.0927972793579102
13.5	0.00103287165984511	0.0102508682757616	0.0861466079950333
13.6	0.00092213274911046	0.00915253628045321	0.0779564455151558
13.7	0.000795717991422862	0.00789865665137768	0.0684711709618568
13.8	0.000657008204143494	0.00652277376502752	0.0579518973827362
13.9	0.000509517267346382	0.00505973910912871	0.0466682016849518
14	0.000356809905497357	0.00354491989128292	0.0348951704800129
14.1	0.000202422685106285	0.00201339367777109	0.0229060500860214
14.2	4.97875480505172e-05	0.000499204790685326	0.0109665412455797
14.3	9.78387834038585e-05	0.000965341809205711	0.000671784044243395
14.4	0.000237438667682	0.00235031312331557	0.011770261451602
14.5	0.000366289896192029	0.0036287063267082	0.0221187993884087
14.6	0.000482013012515381	0.00477692065760493	0.0315289981663227
14.7	0.000582609965931624	0.00577513314783573	0.0398412719368935
14.8	0.000666491745505482	0.00660758418962359	0.0469267554581165
14.9	0.000732497544959188	0.00726275658234954	0.0526884831488132
15	0.00077990215504542	0.00773345585912466	0.0570620894432068
15.1	0.000808414944913238	0.0080167967826128	0.060015719383955
15.2	0.000818168628029525	0.00811409205198288	0.0615492984652519
15.3	0.000809699646197259	0.00803065579384565	0.0616931356489658
15.4	0.000783919997047633	0.00777552975341678	0.0605059526860714
15.5	0.000742082775104791	0.00736113823950291	0.0580723471939564
15.6	0.000685740960761905	0.00680287647992373	0.0544998943805695
15.7	0.000616701727267355	0.006118671502918	0.0499158054590225
15.8	0.000536976964212954	0.00532845733687282	0.0444634929299355
15.9	0.000448731094365939	0.00445369398221374	0.0382987037301064
16	0.000354227813659236	0.00351682538166642	0.0315849669277668
16.1	0.00025577686028555	0.00254075299017131	0.0244907885789871
